,City Name,Country,Clouds,Latitude,Longitude,Date,Temperature,Humidity,Wind Speed
44,burns lake,CA,0.0,54.23,-125.76,2018-10-27,279.179,72.0,2.77
45,timra,SE,0.0,62.49,17.33,2018-10-27,271.15,74.0,3.6
46,khatanga,RU,64.0,71.98,102.47,2018-10-27,274.404,88.0,7.87
47,orange,AU,68.0,-33.28,149.1,2018-10-27,290.404,75.0,2.47
48,san juan del sur,NI,75.0,11.25,-85.87,2018-10-27,299.15,83.0,2.1
49,tuktoyaktuk,CA,90.0,69.44,-133.03,2018-10-27,270.15,92.0,6.2
50,kavaratti,IN,0.0,10.57,72.64,2018-10-27,303.029,97.0,2.72
51,riyadh,SA,75.0,24.63,46.72,2018-10-27,294.15,83.0,4.1
52,laranjeiras do sul,BR,0.0,-25.41,-52.42,2018-10-27,289.354,65.0,2.57
53,olinda,EC,40.0,-2.03,-79.75,2018-10-27,299.15,69.0,6.2
54,pacocha,EC,40.0,-1.05,-80.87,2018-10-27,297.15,83.0,4.6
55,makakilo city,US,1.0,21.35,-158.09,2018-10-27,304.15,45.0,4.6
56,isangel,VU,0.0,-19.55,169.27,2018-10-27,297.604,100.0,1.72
57,paamiut,GL,92.0,61.99,-49.67,2018-10-27,275.829,100.0,15.62
58,las vegas,US,75.0,36.17,-115.15,2018-10-27,301.15,17.0,1.07
59,nanakuli,US,1.0,21.39,-158.15,2018-10-27,304.15,58.0,4.6
60,ushuaia,AR,40.0,-54.81,-68.31,2018-10-27,283.15,76.0,7.2
61,beringovskiy,RU,76.0,63.05,179.32,2018-10-27,272.604,100.0,3.07
62,adrar,DZ,40.0,27.87,-0.29,2018-10-27,295.15,46.0,2.1
63,butaritari,KI,12.0,3.07,172.79,2018-10-27,302.954,100.0,5.07
64,acajutla,SV,20.0,13.59,-89.83,2018-10-27,302.15,54.0,1.5
65,yarada,IN,0.0,17.65,83.27,2018-10-27,301.029,100.0,8.12
66,norman wells,CA,90.0,65.28,-126.83,2018-10-27,268.15,92.0,1.0
67,pinawa,CA,80.0,50.15,-95.88,2018-10-27,279.029,93.0,3.47
68,keshod,IN,0.0,21.3,70.25,2018-10-27,294.854,74.0,0.67
69,manaure,CO,64.0,11.78,-72.45,2018-10-27,302.304,95.0,9.32
70,annau,TM,90.0,37.89,58.52,2018-10-27,284.15,81.0,1.0
71,avarua,CK,90.0,-21.21,-159.78,2018-10-27,296.15,100.0,6.2
72,wana,PK,0.0,32.31,69.59,2018-10-27,275.329,84.0,0.97
73,hermanus,ZA,0.0,-34.42,19.24,2018-10-27,289.679,83.0,1.72
74,tiksi,RU,36.0,71.64,128.87,2018-10-27,263.404,77.0,6.92
75,puerto ayora,EC,0.0,-0.74,-90.35,2018-10-27,298.15,61.0,8.2
76,new norfolk,AU,75.0,-42.78,147.06,2018-10-27,285.15,66.0,3.1
77,north bend,US,75.0,43.41,-124.22,2018-10-27,293.15,72.0,7.2
78,kadoma,ZW,0.0,-18.34,29.91,2018-10-27,290.154,50.0,6.02
79,lasa,CY,0.0,34.92,32.53,2018-10-27,290.15,77.0,3.1
80,vardo,US,90.0,39.62,-77.74,2018-10-27,283.15,87.0,2.6
81,pangnirtung,CA,88.0,66.15,-65.72,2018-10-27,268.579,95.0,2.77
82,severo-yeniseyskiy,RU,0.0,60.37,93.04,2018-10-27,278.204,59.0,4.27
83,poum,MK,0.0,41.28,20.71,2018-10-27,276.554,84.0,0.77
84,zyryanka,RU,0.0,65.73,150.89,2018-10-27,259.079,80.0,1.67
85,bambous virieux,MU,20.0,-20.34,57.76,2018-10-27,291.15,88.0,3.1
86,kaspiysk,RU,0.0,42.88,47.64,2018-10-27,279.15,75.0,4.0
87,kavieng,PG,48.0,-2.57,150.8,2018-10-27,301.229,100.0,2.07
88,bredasdorp,ZA,56.0,-34.53,20.04,2018-10-27,292.15,82.0,5.7
89,saint george,GR,0.0,39.45,22.34,2018-10-27,285.15,93.0,1.22
90,harper,US,1.0,30.3,-99.24,2018-10-27,299.15,41.0,3.6
91,nelson bay,AU,90.0,-32.72,152.14,2018-10-27,289.15,82.0,6.2
92,mezen,RU,0.0,65.85,44.24,2018-10-27,266.354,80.0,1.12
93,dikson,RU,76.0,73.51,80.55,2018-10-27,269.229,100.0,15.02
94,fort nelson,CA,40.0,58.81,-122.69,2018-10-27,284.15,34.0,2.6
95,thompson,CA,90.0,55.74,-97.86,2018-10-27,273.15,98.0,2.6
96,goundam,ML,0.0,16.42,-3.66,2018-10-27,293.529,44.0,1.87
97,esperance,TT,20.0,10.24,-61.45,2018-10-27,300.15,78.0,2.6
98,geraldton,CA,90.0,49.72,-86.95,2018-10-27,276.15,92.0,2.6
99,barrow,AR,0.0,-38.31,-60.23,2018-10-27,289.829,76.0,4.67
100,imbituba,BR,20.0,-28.24,-48.67,2018-10-27,292.15,77.0,5.1
101,skjervoy,NO,80.0,70.03,20.97,2018-10-27,275.204,100.0,6.02
102,agadez,NE,56.0,16.97,7.99,2018-10-27,300.354,44.0,3.32
103,kirkwall,GB,88.0,58.98,-2.96,2018-10-27,280.15,75.0,7.2
104,presidencia roque saenz pena,AR,8.0,-26.79,-60.44,2018-10-27,293.229,58.0,3.52
105,te anau,NZ,92.0,-45.41,167.72,2018-10-27,280.979,99.0,1.52
106,bhiwani,IN,0.0,28.79,76.14,2018-10-27,287.404,78.0,1.22
107,rehoboth,NA,80.0,-23.31,17.08,2018-10-27,291.054,58.0,0.87
108,vila franca do campo,PT,40.0,37.72,-25.43,2018-10-27,290.15,59.0,9.3
109,carnarvon,ZA,0.0,-30.97,22.13,2018-10-27,287.104,25.0,0.97
110,zinder,NE,64.0,13.81,8.99,2018-10-27,301.404,66.0,1.07
111,huarmey,PE,8.0,-10.07,-78.15,2018-10-27,290.204,72.0,1.42
112,rondonopolis,BR,12.0,-16.46,-54.64,2018-10-27,297.304,92.0,0.97
113,mankayan,PH,0.0,16.86,120.79,2018-10-27,295.579,76.0,0.77
114,zhangye,CN,0.0,38.94,100.46,2018-10-27,271.529,69.0,3.47
115,constitucion,MX,40.0,23.99,-104.67,2018-10-27,295.15,33.0,2.1
116,koygorodok,RU,92.0,60.44,51.01,2018-10-27,273.779,82.0,3.42
117,boysun,UZ,76.0,38.2,67.2,2018-10-27,282.429,78.0,1.07
118,pinar del rio,CU,44.0,22.42,-83.7,2018-10-27,299.829,74.0,2.22
119,torbay,CA,90.0,47.66,-52.73,2018-10-27,277.15,69.0,5.1
120,hovd,NO,40.0,63.83,10.7,2018-10-27,270.15,92.0,2.6
121,san cristobal,EC,75.0,-0.39,-78.55,2018-10-27,287.15,71.0,8.2
122,oranjemund,ZA,8.0,-28.55,16.43,2018-10-27,289.954,97.0,0.37
123,bethel,US,40.0,60.79,-161.76,2018-10-27,274.15,59.0,8.2
124,ola,RU,75.0,59.58,151.3,2018-10-27,276.15,100.0,0.62
125,vaini,IN,0.0,15.34,74.49,2018-10-27,292.354,54.0,2.72
126,guerrero negro,MX,0.0,27.97,-114.04,2018-10-27,300.854,41.0,5.12
127,kruisfontein,ZA,0.0,-34.0,24.73,2018-10-27,290.279,85.0,5.92
128,nador,MA,20.0,35.17,-2.93,2018-10-27,291.15,77.0,6.7
129,ponta delgada,PT,40.0,37.73,-25.67,2018-10-27,290.15,59.0,9.3
130,yellowknife,CA,90.0,62.45,-114.38,2018-10-27,273.15,93.0,3.6
131,itapirapua,BR,48.0,-15.82,-50.61,2018-10-27,298.854,70.0,1.52
132,mollendo,PE,8.0,-17.03,-72.02,2018-10-27,288.354,80.0,1.32
133,jalu,LY,44.0,29.03,21.55,2018-10-27,292.529,41.0,5.42
134,zhigansk,RU,88.0,66.77,123.37,2018-10-27,265.579,85.0,6.07
135,assiniboia,CA,8.0,49.63,-105.99,2018-10-27,282.229,35.0,6.37
136,margate,AU,75.0,-43.03,147.26,2018-10-27,285.15,81.0,3.1
137,hobart,AU,75.0,-42.88,147.33,2018-10-27,285.15,57.0,3.1
138,vanavara,RU,0.0,60.35,102.28,2018-10-27,271.104,93.0,3.02
139,ahipara,NZ,80.0,-35.17,173.16,2018-10-27,289.854,88.0,5.02
140,georgetown,GY,20.0,6.8,-58.16,2018-10-27,300.15,83.0,3.1
141,chokurdakh,RU,88.0,70.62,147.9,2018-10-27,260.204,88.0,3.32
142,east london,ZA,20.0,-33.02,27.91,2018-10-27,293.829,100.0,8.52
143,lompoc,US,1.0,34.64,-120.46,2018-10-27,303.15,72.0,6.2
144,puerto escondido,MX,20.0,15.86,-97.07,2018-10-27,304.15,66.0,4.1
145,anadyr,RU,40.0,64.73,177.51,2018-10-27,270.15,79.0,6.0
146,manggar,ID,48.0,-2.88,108.27,2018-10-27,300.029,95.0,1.77
147,muroto,JP,40.0,33.37,134.14,2018-10-27,284.15,71.0,3.6
148,kastamonu,TR,0.0,41.38,33.78,2018-10-27,269.354,73.0,1.07
149,shubarkuduk,KZ,0.0,49.15,56.49,2018-10-27,273.279,92.0,4.97
150,otane,NZ,0.0,-39.89,176.62,2018-10-27,292.679,74.0,3.37
151,katsuura,JP,75.0,33.93,134.5,2018-10-27,286.15,76.0,1.5
152,tessalit,ML,36.0,20.2,1.01,2018-10-27,287.279,41.0,1.37
153,lorengau,PG,0.0,-2.02,147.27,2018-10-27,302.454,97.0,0.42
154,mendeleyevo,RU,90.0,56.04,37.23,2018-10-27,278.15,100.0,3.0
155,qingyuan,CN,0.0,27.62,119.06,2018-10-27,283.579,77.0,0.87
156,namatanai,PG,36.0,-3.66,152.44,2018-10-27,300.654,100.0,1.62
157,shar,NG,36.0,7.3,8.73,2018-10-27,297.529,89.0,1.37
158,vernon,CA,1.0,50.27,-119.27,2018-10-27,283.15,66.0,3.6
159,mahebourg,MU,20.0,-20.41,57.7,2018-10-27,291.15,88.0,3.1
160,upernavik,GL,92.0,72.79,-56.15,2018-10-27,268.554,100.0,10.42
161,deputatskiy,RU,8.0,69.3,139.9,2018-10-27,250.079,65.0,1.47
162,saint-philippe,CA,90.0,45.36,-73.48,2018-10-27,275.15,100.0,9.3
163,uige,AO,80.0,-7.61,15.06,2018-10-27,293.029,93.0,0.82
164,hasaki,JP,40.0,35.73,140.83,2018-10-27,290.15,72.0,4.6
165,ngunguru,NZ,48.0,-35.62,174.5,2018-10-27,290.904,94.0,5.72
166,kodinsk,RU,0.0,58.6,99.18,2018-10-27,270.479,83.0,2.32
167,kindu,CD,80.0,-2.95,25.92,2018-10-27,295.704,96.0,1.07
168,saskylakh,RU,88.0,71.97,114.09,2018-10-27,268.204,86.0,11.12
169,hithadhoo,MV,64.0,-0.6,73.08,2018-10-27,299.904,100.0,4.22
170,asyut,EG,0.0,27.18,31.19,2018-10-27,292.15,55.0,6.2
171,canto do buriti,BR,0.0,-8.11,-42.94,2018-10-27,301.104,42.0,3.02
172,sabaudia,IT,75.0,41.3,13.03,2018-10-27,294.15,83.0,11.3
173,marawi,PH,44.0,8.0,124.29,2018-10-27,296.654,82.0,1.27
174,arawa,NG,32.0,7.05,3.9,2018-10-27,296.579,97.0,1.12
175,aksu,KZ,0.0,52.04,76.93,2018-10-27,282.15,36.0,6.0
176,kahului,US,40.0,20.89,-156.47,2018-10-27,304.15,58.0,9.8
177,castro,CL,92.0,-42.48,-73.76,2018-10-27,284.729,98.0,2.87
178,terrace,CA,75.0,54.52,-128.61,2018-10-27,281.15,75.0,8.2
179,ejido,VE,32.0,8.55,-71.24,2018-10-27,289.329,100.0,0.12
180,camacha,PT,40.0,33.08,-16.33,2018-10-27,292.15,68.0,7.7
181,wanaka,NZ,88.0,-44.7,169.14,2018-10-27,279.954,92.0,1.22
182,simpang,MY,75.0,4.82,100.71,2018-10-27,298.15,94.0,1.5
183,tasiilaq,GL,92.0,65.61,-37.64,2018-10-27,274.15,97.0,15.9
184,morondava,MG,0.0,-20.3,44.28,2018-10-27,293.704,100.0,1.87
185,vostok,RU,80.0,46.45,135.83,2018-10-27,271.404,79.0,2.07
186,krasnyy chikoy,RU,92.0,50.36,108.75,2018-10-27,273.804,79.0,2.47
187,nizwa,OM,8.0,22.93,57.53,2018-10-27,291.654,79.0,1.72
188,atuona,PF,80.0,-9.8,-139.03,2018-10-27,299.904,100.0,8.92
189,krasnaya gorka,RU,80.0,55.19,56.67,2018-10-27,272.404,89.0,5.07
190,tortoli,IT,0.0,39.93,9.66,2018-10-27,293.15,52.0,4.6
191,chernogorsk,RU,48.0,53.83,91.31,2018-10-27,269.15,92.0,1.0
192,bemidji,US,90.0,47.48,-94.89,2018-10-27,282.15,87.0,3.6
193,severo-kurilsk,RU,92.0,50.68,156.12,2018-10-27,279.554,98.0,6.07
194,kaitangata,NZ,92.0,-46.28,169.85,2018-10-27,282.729,100.0,2.92
195,mahibadhoo,MV,64.0,3.78,72.97,2018-10-27,300.604,100.0,2.82
196,bageshwar,IN,0.0,29.85,79.77,2018-10-27,278.229,58.0,1.57
197,bam,IR,20.0,29.11,58.36,2018-10-27,286.779,80.0,1.62
198,aloleng,PH,8.0,16.13,119.78,2018-10-27,301.029,96.0,3.77
199,mackay,CA,20.0,53.65,-115.58,2018-10-27,283.15,39.0,7.2
200,linxia,CN,0.0,35.6,103.21,2018-10-27,267.179,81.0,2.07
201,pastavy,BY,48.0,55.11,26.84,2018-10-27,277.779,88.0,8.42
202,kloulklubed,PW,90.0,7.04,134.26,2018-10-27,298.15,94.0,9.77
203,airai,TL,0.0,-8.93,125.41,2018-10-27,300.679,42.0,0.92
204,marsh harbour,BS,76.0,26.54,-77.06,2018-10-27,300.179,100.0,2.52
205,ben tre,VN,8.0,10.24,106.37,2018-10-27,298.279,94.0,3.72
206,mount gambier,AU,20.0,-37.83,140.78,2018-10-27,286.929,75.0,1.52
207,chuy,UY,20.0,-33.69,-53.46,2018-10-27,288.779,90.0,4.72
208,chifeng,CN,92.0,42.27,118.96,2018-10-27,273.204,67.0,3.42
209,qaqortoq,GL,68.0,60.72,-46.03,2018-10-27,274.15,86.0,3.1
210,watrous,CA,8.0,51.67,-105.46,2018-10-27,279.979,56.0,7.82
211,khasan,RU,92.0,42.43,130.64,2018-10-27,280.729,100.0,4.62
212,thai binh,VN,56.0,20.45,106.33,2018-10-27,295.279,96.0,3.67
213,abnub,EG,0.0,27.27,31.15,2018-10-27,292.15,55.0,6.2
214,beloha,MG,0.0,-25.17,45.06,2018-10-27,289.304,91.0,3.17
215,port hardy,CA,90.0,50.7,-127.42,2018-10-27,283.15,81.0,10.3
216,belaya gora,RU,76.0,68.54,146.19,2018-10-27,261.429,86.0,5.12
217,touros,BR,0.0,-5.2,-35.46,2018-10-27,297.654,91.0,4.32
218,casablanca,MA,75.0,33.6,-7.62,2018-10-27,289.15,82.0,6.7
219,pauini,BR,20.0,-7.71,-67.0,2018-10-27,299.604,83.0,0.77
220,cayenne,GF,75.0,4.94,-52.33,2018-10-27,301.15,83.0,1.5
221,port-gentil,GA,75.0,-0.72,8.78,2018-10-27,300.15,88.0,6.2
222,fortuna,ES,20.0,38.18,-1.13,2018-10-27,288.15,67.0,6.2
223,fairbanks,US,90.0,64.84,-147.72,2018-10-27,273.15,95.0,1.62
224,mar del plata,AR,0.0,-46.43,-67.52,2018-10-27,288.954,47.0,1.87
225,srednekolymsk,RU,80.0,67.46,153.71,2018-10-27,259.529,77.0,3.32
226,san rafael,AR,68.0,-34.61,-68.33,2018-10-27,285.604,98.0,1.52
227,salalah,OM,40.0,17.01,54.1,2018-10-27,299.15,74.0,2.1
228,praia da vitoria,PT,75.0,38.73,-27.07,2018-10-27,291.15,68.0,7.77
229,shalinskoye,RU,0.0,55.72,93.76,2018-10-27,273.454,70.0,2.97
230,williams lake,CA,90.0,52.13,-122.14,2018-10-27,281.15,42.0,3.6
231,salinopolis,BR,76.0,-0.61,-47.36,2018-10-27,301.329,92.0,5.57
232,gigmoto,PH,92.0,13.78,124.39,2018-10-27,299.279,100.0,8.42
233,namibe,AO,0.0,-15.19,12.15,2018-10-27,299.229,84.0,5.82
234,orlik,RU,0.0,52.51,99.83,2018-10-27,254.004,49.0,0.87
235,goderich,CA,92.0,43.74,-81.71,2018-10-27,277.054,100.0,6.57
236,kralendijk,BQ,20.0,12.15,-68.27,2018-10-27,301.15,78.0,6.7
237,kharp,RU,68.0,66.82,65.8,2018-10-27,268.829,83.0,4.32
238,okhotsk,RU,64.0,59.36,143.24,2018-10-27,270.329,100.0,2.47
239,miyako,JP,75.0,33.63,130.94,2018-10-27,288.15,51.0,4.1
240,kalianget,ID,44.0,-7.35,109.91,2018-10-27,294.829,92.0,1.42
241,aklavik,CA,75.0,68.22,-135.01,2018-10-27,269.15,92.0,1.5
242,winslow,GB,75.0,51.94,-0.88,2018-10-27,278.15,100.0,6.2
243,kostomuksha,RU,56.0,64.59,30.6,2018-10-27,272.104,82.0,3.22
244,el espinal,MX,0.0,16.48,-95.04,2018-10-27,301.429,89.0,12.42
245,kieta,PG,20.0,-6.22,155.63,2018-10-27,300.704,100.0,1.67
246,itarema,BR,0.0,-2.92,-39.92,2018-10-27,298.604,81.0,6.17
247,clyde river,CA,40.0,70.47,-68.59,2018-10-27,260.15,92.0,8.2
248,kapaa,US,20.0,22.08,-159.32,2018-10-27,303.15,66.0,5.7
249,nikolskoye,RU,75.0,59.7,30.79,2018-10-27,275.15,96.0,7.0
250,banda aceh,ID,64.0,5.56,95.32,2018-10-27,297.029,100.0,0.92
251,oga,NG,12.0,8.18,5.65,2018-10-27,295.654,94.0,1.32
252,mayumba,GA,92.0,-3.44,10.65,2018-10-27,298.079,100.0,3.62
253,luanda,AO,75.0,-8.83,13.24,2018-10-27,299.15,83.0,3.6
254,dalbandin,PK,0.0,28.9,64.41,2018-10-27,288.579,57.0,1.42
255,thohoyandou,ZA,0.0,-22.97,30.46,2018-10-27,286.829,70.0,1.27
256,tura,IN,0.0,25.52,90.21,2018-10-27,291.554,89.0,1.12
257,sinnamary,GF,80.0,5.38,-52.96,2018-10-27,300.479,96.0,3.17
258,codrington,AU,48.0,-28.95,153.24,2018-10-27,296.229,63.0,2.77
259,leo,BF,8.0,11.1,-2.1,2018-10-27,298.479,77.0,0.97
260,kodiak,US,1.0,39.95,-94.76,2018-10-27,293.15,40.0,2.1
261,nouadhibou,MR,76.0,20.93,-17.03,2018-10-27,293.15,88.0,6.7
262,kommunar,RU,75.0,59.62,30.39,2018-10-27,275.15,94.0,7.0
263,mount darwin,ZW,0.0,-16.77,31.58,2018-10-27,290.704,68.0,3.67
264,show low,US,1.0,34.25,-110.03,2018-10-27,294.15,25.0,2.1
265,kuching,MY,75.0,1.56,110.34,2018-10-27,298.15,94.0,1.0
266,urucui,BR,12.0,-7.23,-44.56,2018-10-27,303.579,46.0,3.87
267,broken hill,AU,92.0,-31.97,141.45,2018-10-27,293.804,47.0,3.87
268,half moon bay,US,75.0,37.46,-122.43,2018-10-27,300.15,64.0,9.8
269,chicama,PE,75.0,-7.84,-79.15,2018-10-27,292.15,77.0,5.1
270,kabalo,CD,36.0,-6.05,26.92,2018-10-27,293.979,94.0,0.92
271,huaibei,CN,0.0,33.96,116.79,2018-10-27,282.604,46.0,4.97
272,ozernovskiy,RU,64.0,51.5,156.52,2018-10-27,278.829,98.0,3.92
273,paranaiba,BR,68.0,-19.68,-51.19,2018-10-27,296.554,88.0,1.42
274,natal,BR,20.0,-5.81,-35.21,2018-10-27,299.15,74.0,3.6
275,saint-augustin,FR,0.0,44.83,-0.61,2018-10-27,280.15,70.0,3.6
276,batemans bay,AU,8.0,-35.71,150.18,2018-10-27,288.654,77.0,2.82
277,san vicente,SV,40.0,13.64,-88.78,2018-10-27,300.15,83.0,3.1
278,buala,SB,68.0,-8.15,159.59,2018-10-27,303.229,82.0,1.97
279,nanortalik,GL,76.0,60.14,-45.24,2018-10-27,275.104,94.0,6.62
280,ziyang,CN,32.0,30.12,104.65,2018-10-27,286.979,89.0,1.37
281,provideniya,RU,8.0,64.42,-173.23,2018-10-27,270.329,100.0,3.02
282,hami,CN,0.0,42.84,93.51,2018-10-27,273.029,48.0,3.12
283,vaitape,PF,64.0,-16.52,-151.75,2018-10-27,299.104,100.0,3.57
284,luderitz,NA,32.0,-26.65,15.16,2018-10-27,298.15,44.0,1.0
285,dryden,CA,90.0,49.79,-92.84,2018-10-27,279.15,93.0,5.1
286,nome,US,1.0,30.04,-94.42,2018-10-27,298.15,50.0,2.1
287,turukhansk,RU,92.0,65.8,87.96,2018-10-27,275.954,91.0,7.72
288,awjilah,LY,44.0,29.14,21.3,2018-10-27,293.529,40.0,5.47
289,marzuq,YE,0.0,14.4,46.47,2018-10-27,280.329,83.0,1.02
290,niquero,CU,0.0,20.04,-77.58,2018-10-27,301.229,96.0,1.87
291,nagaur,IN,0.0,27.2,73.74,2018-10-27,289.204,46.0,2.77
292,san juan,PH,75.0,14.6,121.03,2018-10-27,300.15,88.0,1.0
293,loandjili,CG,75.0,-4.77,11.87,2018-10-27,299.15,94.0,3.1
294,leshukonskoye,RU,8.0,64.9,45.76,2018-10-27,270.354,85.0,2.22
295,saldanha,PT,24.0,41.42,-6.55,2018-10-27,275.179,85.0,2.72
296,hongjiang,CN,48.0,27.21,109.83,2018-10-27,284.404,77.0,1.07
297,jadu,LY,0.0,31.95,12.03,2018-10-27,284.079,89.0,1.32
298,khash,IR,76.0,28.22,61.21,2018-10-27,283.579,70.0,1.22
299,vao,EE,92.0,59.1,26.19,2018-10-27,276.204,97.0,7.92
300,atar,MR,76.0,20.52,-13.05,2018-10-27,302.154,24.0,2.57
301,antsohihy,MG,0.0,-14.88,47.99,2018-10-27,292.729,98.0,1.42
302,puerto carreno,CO,40.0,6.19,-67.49,2018-10-27,302.15,74.0,2.1
303,sitka,US,0.0,37.17,-99.65,2018-10-27,292.454,41.0,2.17
304,omboue,GA,88.0,-1.57,9.26,2018-10-27,299.904,100.0,3.87
305,ancud,CL,92.0,-41.87,-73.83,2018-10-27,284.929,97.0,2.92
306,chipinge,ZW,0.0,-20.19,32.62,2018-10-27,288.354,79.0,1.17
307,port elizabeth,US,90.0,39.31,-74.98,2018-10-27,284.15,93.0,5.7
308,simbahan,PH,80.0,6.3,120.58,2018-10-27,302.929,97.0,6.12
309,pisco,PE,90.0,-13.71,-76.2,2018-10-27,293.15,72.0,3.1
310,harrison,US,90.0,39.26,-84.82,2018-10-27,282.15,81.0,4.1
311,oktyabrskiy,RU,75.0,55.61,37.97,2018-10-27,278.15,86.0,5.0
312,tilichiki,RU,92.0,60.47,166.1,2018-10-27,276.029,97.0,1.67
313,ostrovnoy,RU,88.0,68.05,39.51,2018-10-27,270.429,92.0,5.02
314,longyearbyen,NO,75.0,78.22,15.63,2018-10-27,266.15,73.0,4.1
315,santo antonio do ica,BR,80.0,-3.1,-67.94,2018-10-27,299.704,88.0,1.97
316,belmonte,PT,88.0,40.36,-7.35,2018-10-27,277.529,84.0,2.57
317,talnakh,RU,88.0,69.49,88.39,2018-10-27,272.579,93.0,9.27
318,bay saint louis,US,1.0,30.31,-89.33,2018-10-27,294.15,63.0,2.1
319,conde,BR,0.0,-11.81,-37.61,2018-10-27,298.529,87.0,6.02
320,opunake,NZ,0.0,-39.45,173.86,2018-10-27,287.404,97.0,6.47
321,buluang,PH,75.0,10.47,123.98,2018-10-27,300.15,78.0,2.1
322,maniitsoq,GL,80.0,65.42,-52.9,2018-10-27,273.954,98.0,9.87
323,pierre,US,20.0,44.37,-100.35,2018-10-27,286.15,82.0,7.2
324,alihe,CN,92.0,50.57,123.73,2018-10-27,269.979,66.0,5.32
325,naze,NG,20.0,5.43,7.07,2018-10-27,300.15,88.0,2.47
326,faya,SA,0.0,18.39,42.45,2018-10-27,290.15,87.0,1.52
327,aykhal,RU,92.0,65.95,111.51,2018-10-27,270.454,85.0,5.72
328,cidreira,BR,92.0,-30.17,-50.22,2018-10-27,290.529,92.0,5.92
329,haines junction,CA,12.0,60.75,-137.51,2018-10-27,273.029,73.0,0.62
330,aku,NG,36.0,7.36,7.54,2018-10-27,297.179,90.0,1.32
331,primorsko-akhtarsk,RU,12.0,46.05,38.18,2018-10-27,286.454,96.0,7.72
